product,brand,price,product_link,image_link
'Superstar' Sneakers,Dsquared2,395 €,/de/shopping/men/dsquared2-sneakers-mit-dicker-sohle-item-15426084.aspx,
'Superstar' Sneakers,ASICS,166 €,/de/shopping/men/asics-gel-nandi-360-og-sneakers-item-15758090.aspx,
adidas x Human Made 'Rivalry' Sneakers,Veja,95 €,/de/shopping/men/veja-nova-high-top-sneakers-item-14830124.aspx,
'Ivo' Sneakers,adidas,154 €,/de/shopping/men/adidas-ultraboost-20-sneakers-item-15773440.aspx,
Sneakers mit dicker Sohle,ON Running,213 €,/de/shopping/men/on-running-cloud-hi-waterproof-sneakers-item-15685254.aspx,
'GEL-NANDI 360 OG' Sneakers,Jacquemus,532 €,/de/shopping/men/jacquemus-schnurstiefel-aus-cord-item-15492030.aspx,
'Nova' High-Top-Sneakers,adidas,130 €,/de/shopping/men/adidas-hamburg-fish-market-sneakers-item-14761462.aspx,
'Ultraboost 20' Sneakers,adidas,213 €,/de/shopping/men/adidas-adidas-x-sankuanz-rivalry-high-top-sneakers-item-14928942.aspx,
'Cloud Hi Waterproof' Sneakers,Prada,790 €,/de/shopping/men/prada-knochelhohe-stiefel-item-15834090.aspx,
Schnürstiefel aus Cord,Palm Angels,420 €,/de/shopping/men/palm-angels-wildlederschuhe-mit-logo-print-item-15487933.aspx,
'Hamburg Fish Market' Sneakers,adidas,130 €,/de/shopping/men/adidas-hamburg-fish-market-sneakers-item-14761408.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
adidas x Sankuanz 'Rivalry' High-Top-Sneakers,Maison Margiela,890 €,/de/shopping/men/maison-margiela-tabi-chelsea-boots-item-15380535.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
Knöchelhohe Stiefel,Golden Goose,375 €,/de/shopping/men/golden-goose-superstar-sneakers-item-14784875.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
Wildlederschuhe mit Logo-Print,Givenchy,595 €,/de/shopping/men/givenchy-wing-sneakers-item-14147658.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Hamburg Fish Market' Sneakers,Tom Ford,990 €,/de/shopping/men/tom-ford-jago-sneakers-item-15409555.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Tabi' Chelsea-Boots,Marcelo Burlon County of Milan,340 €,/de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15492069.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Superstar' Sneakers,Y-3,450 €,/de/shopping/men/y-3-4d-sneakers-item-14814945.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
Sportliche Sneakers von ,Tom Ford,750 €,/de/shopping/men/tom-ford-warwick-sneakers-item-14754629.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
", die mit kontrastierenden Farbtönen nicht nur im Gym die richtige Wahl sind. Elegante Budapester aus dem Hause ",Prada,650 €,/de/shopping/men/prada-derby-schuhe-mit-wedge-sohle-item-14630347.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
", die mit aufregenden Details jedes Outfit abrunden oder luftige Pantoletten von ",Axel Arigato,200 €,/de/shopping/men/axel-arigato-birds-clean-90-sneakers-item-14661639.aspx,
